Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,7.444,90.04,3.9,150,263,253,299,598400,598400,10210
output_0.1.txt,108.115,90.34,3.9,150,296,252,323,6016224,5988512,94512
output_0.2.txt,241.197,89.81,4.01,169,8417,310,8451,12036576,11997829,188166
output_0.3.txt,396.117,89.63,4.04,520,17302,1766,18371,18045186,17841942,279069
output_0.4.txt,521.062,89.99,3.92,1230,26498,5299,37505,23330908,22673196,359182
output_0.5.txt,546.727,88.24,3.84,1549,29298,10177,43221,25036878,24186907,367612
output_0.6.txt,561.815,86.63,3.83,1665,32960,15242,48210,24931651,24055951,353669
output_0.7.txt,574.384,88.15,3.81,1675,29980,18970,49694,25865723,24975839,384962
output_0.8.txt,568.739,87.81,3.8,1707,30747,22354,49559,25481329,24603912,373143
output_0.9.txt,574.625,86.68,3.8,1737,33229,25510,51551,25502208,24605067,389612
output_1.txt,577.665,88.01,3.8,1724,29834,26797,50855,25815456,24918090,398334
