Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,6.593,90.48,3.31,119,211,150,230,599040,599040,18726
output_0.1.txt,65.277,91.09,3.31,119,225,150,240,6020352,6006544,188158
output_0.2.txt,131.213,91.26,3.31,119,230,150,246,12052632,12026432,377078
output_0.3.txt,196.656,92.99,3.3,121,270,153,284,18076032,18041043,565350
output_0.4.txt,268.869,94.00,3.31,122,295,155,312,24108307,24056209,753784
output_0.5.txt,336.921,95.13,3.31,124,381,159,398,30131712,30072043,942207
output_0.6.txt,409.945,96.15,3.31,130,417,170,435,36164013,36083879,1130625
output_0.7.txt,482.745,97.00,3.31,139,513,184,537,42188439,42092375,1319130
output_0.8.txt,551.458,97.74,3.31,158,763,210,786,48219673,48091414,1507560
output_0.9.txt,621.624,98.46,3.31,208,1271,278,1244,54246700,54057139,1695952
output_1.txt,677.773,98.94,3.3,707,6174,1051,6194,60272387,59244360,1860181
