Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,5.26,92.07,3.31,268,1509,645,1561,479232,479232,936
output_0.1.txt,92.82,89.80,3.3,266,1550,641,1694,5990400,5885509,11325
output_0.2.txt,188.335,89.73,3.31,267,1746,646,1933,11980800,11871872,23505
output_0.3.txt,272.533,91.03,3.3,272,1971,657,2146,17971200,17864554,35330
output_0.4.txt,358.862,92.19,3.3,290,2583,700,2803,23961600,23841684,47027
output_0.5.txt,475.394,93.23,3.3,331,3509,777,3739,29952000,29802863,58933
output_0.6.txt,611.015,94.14,3.3,409,4292,926,4311,35942400,35740210,70637
output_0.7.txt,680.868,94.56,3.31,567,7191,1240,7750,41969113,41573199,82564
output_0.8.txt,801.196,92.72,3.3,894,14520,3508,21580,46089550,45226344,90011
output_0.9.txt,831.468,93.00,3.3,1017,12613,7303,29476,46868491,45909568,90270
output_1.0.txt,839.689,93.13,3.3,1046,12638,10931,31647,46929008,46001763,89967
