Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,5.849,89.36,3.31,146,463,250,484,599040,598958,5421
output_0.1.txt,82.342,89.67,3.3,145,567,246,603,5990400,5990361,47575
output_0.2.txt,169.071,89.96,3.31,145,566,246,614,12040704,11984497,94385
output_0.3.txt,259.33,91.66,3.31,147,695,252,652,18031104,18006772,141331
output_0.4.txt,368.661,92.73,3.31,154,773,264,832,24081408,24010765,188422
output_0.5.txt,4458.667,93.61,3.31,166,1063,282,1131,30098703,30015142,235607
output_0.6.txt,559.129,94.55,3.31,186,1293,317,1276,36122112,36013281,282708
output_0.7.txt,635.411,95.38,3.31,219,1751,371,1552,42156493,41997357,329734
output_0.8.txt,734.0,96.01,3.3,287,2791,475,2366,48174744,47946637,376897
output_0.9.txt,833.791,96.56,3.3,476,4878,751,4929,54206592,53765213,424070
output_1.txt,959.723,95.88,3.3,1055,13880,3324,17251,57547199,56404055,440521
