Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,5.875,83.78,3.31,113,131,124,143,602784,600980,301399
output_0.1.txt,82.194,89.68,3.31,112,132,6138,8190,5220472,5210699,2610964
output_0.2.txt,87.353,90.37,3.31,112,132,25567,34091,5220894,5211107,2610988
output_0.3.txt,92.877,89.97,3.31,112,132,32044,42726,5221009,5211239,2610981
output_0.4.txt,87.29,90.16,3.31,112,132,35283,47043,5221075,5211302,2610976
output_0.5.txt,90.721,89.90,3.31,112,132,37226,49634,5221103,5211333,2610969
output_0.6.txt,86.236,90.14,3.31,112,132,38522,51362,5221133,5211359,2610966
output_0.7.txt,88.923,89.88,3.31,112,132,39447,52596,5221149,5211377,2610964
output_0.8.txt,86.422,90.00,3.31,112,132,40141,53521,5221165,5211389,2610959
output_0.9.txt,86.115,90.00,3.31,112,132,40681,54241,5221179,5211400,2610962
output_1.txt,86.408,89.89,3.31,112,132,41113,54816,5221189,5211407,2610964
