Directory,Execution time,Efficiency,hops,avg chunk latency,max chunk latency,avg message latency,max message latency,Packets generated,Packets finished,Messages received
output_0.01.txt,5.673,89.77,3.31,128,290,183,305,599040,599040,9616
output_0.1.txt,79.999,89.95,3.31,128,335,182,340,6020352,5992512,93936
output_0.2.txt,166.05,91.31,3.31,128,345,184,364,12040704,12012937,188589
output_0.3.txt,279.546,92.14,3.31,132,418,187,423,18061056,18030124,282663
output_0.4.txt,350.504,93.20,3.31,132,472,189,506,24093336,24043730,376908
output_0.5.txt,459.463,94.07,3.3,138,596,200,562,30128673,30054504,471093
output_0.6.txt,563.901,94.93,3.3,148,696,217,733,36152064,36061689,565350
output_0.7.txt,679.654,95.67,3.3,165,908,244,928,42173455,42061471,659618
output_0.8.txt,777.946,96.23,3.3,200,1439,298,1365,48204691,48042212,753740
output_0.9.txt,899.11,96.72,3.3,299,2340,433,2368,54233312,53956516,847972
output_1.txt,1102.486,96.86,3.3,953,11096,1870,13695,59565649,58346952,911542
